category,method,motions,tracked,borderline,failed,unknown
acrobatics_parkour,best_s128,1,0,0,1,0
acrobatics_parkour,no_mpc_baseline,1,1,0,0,0
acrobatics_parkour,sweetpoint,1,1,0,0,0
animal_insect_interaction,best_s128,1,1,0,0,0
animal_insect_interaction,no_mpc_baseline,1,1,0,0,0
animal_insect_interaction,sweetpoint,1,1,0,0,0
carrying_relocation,best_s128,1,0,1,0,0
carrying_relocation,no_mpc_baseline,1,0,0,1,0
carrying_relocation,sweetpoint,1,0,1,0,0
combat_defense_threat,best_s128,2,1,0,1,0
combat_defense_threat,no_mpc_baseline,2,0,0,2,0
combat_defense_threat,sweetpoint,2,1,1,0,0
crawl_climb,best_s128,1,1,0,0,0
crawl_climb,no_mpc_baseline,1,1,0,0,0
crawl_climb,sweetpoint,1,1,0,0,0
dance,best_s128,2,0,1,1,0
dance,no_mpc_baseline,2,0,0,2,0
dance,sweetpoint,2,1,1,0,0
exercise_stretch_warmup,best_s128,1,1,0,0,0
exercise_stretch_warmup,no_mpc_baseline,1,1,0,0,0
exercise_stretch_warmup,sweetpoint,1,1,0,0,0
gesture_emotion_social,best_s128,2,2,0,0,0
gesture_emotion_social,no_mpc_baseline,2,2,0,0,0
gesture_emotion_social,sweetpoint,2,2,0,0,0
idle_pose_transition,best_s128,1,1,0,0,0
idle_pose_transition,no_mpc_baseline,1,0,1,0,0
idle_pose_transition,sweetpoint,1,1,0,0,0
jump_hop,best_s128,1,1,0,0,0
jump_hop,no_mpc_baseline,1,1,0,0,0
jump_hop,sweetpoint,1,1,0,0,0
locomotion_run_jog_sprint,best_s128,1,1,0,0,0
locomotion_run_jog_sprint,no_mpc_baseline,1,0,0,1,0
locomotion_run_jog_sprint,sweetpoint,1,1,0,0,0
mechanical_operation,best_s128,1,1,0,0,0
mechanical_operation,no_mpc_baseline,1,1,0,0,0
mechanical_operation,sweetpoint,1,1,0,0,0
music_performance,best_s128,1,1,0,0,0
music_performance,no_mpc_baseline,1,1,0,0,0
music_performance,sweetpoint,1,1,0,0,0
object_interaction_daily,best_s128,1,1,0,0,0
object_interaction_daily,no_mpc_baseline,1,1,0,0,0
object_interaction_daily,sweetpoint,1,1,0,0,0
other_or_uncategorized,best_s128,2,1,0,1,0
other_or_uncategorized,no_mpc_baseline,2,1,0,1,0
other_or_uncategorized,sweetpoint,2,1,1,0,0
phone_social_scene,best_s128,1,1,0,0,0
phone_social_scene,no_mpc_baseline,1,1,0,0,0
phone_social_scene,sweetpoint,1,1,0,0,0
self_touch_discomfort,best_s128,1,1,0,0,0
self_touch_discomfort,no_mpc_baseline,1,1,0,0,0
self_touch_discomfort,sweetpoint,1,1,0,0,0
sports_play,best_s128,1,1,0,0,0
sports_play,no_mpc_baseline,1,0,0,1,0
sports_play,sweetpoint,1,1,0,0,0
tool_work_operation,best_s128,2,2,0,0,0
tool_work_operation,no_mpc_baseline,2,1,0,1,0
tool_work_operation,sweetpoint,2,2,0,0,0
turn_step_balance,best_s128,1,1,0,0,0
turn_step_balance,no_mpc_baseline,1,1,0,0,0
turn_step_balance,sweetpoint,1,1,0,0,0
vehicle_riding,best_s128,1,1,0,0,0
vehicle_riding,no_mpc_baseline,1,1,0,0,0
vehicle_riding,sweetpoint,1,1,0,0,0
